model,embedding_lags,tcn_channels,tcn_levels,tcn_kernel,embedding_column,rubert_table,music_table,y_group,split,seed,test_fraction,test_games,test_rows,merge_identical_embeddings,dropout,lr,weight_decay,epochs_ran,best_val_mae_norm_macro,standardize_x,standardize_y,y_column,mae,medae,abs_err_p90,rmse,r2,explained_variance,max_abs,pearson
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_centroid_p95,0.20169264391446726,0.15410390496253967,0.4117435574531555,0.24890176951885223,-18296639488.0,-15038788608.0,0.5005084276199341,0.49290798411780307
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_flatness_p50,0.18405712937506347,0.07695866003632545,0.8141085118055343,0.3411639332771301,-0.10467326641082764,0.01732933521270752,0.8970466256141663,0.1366268839123037
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_rolloff_mean,0.223083407833026,0.12946748733520508,0.4871457576751709,0.28944990038871765,-2173262336.0,-1456250112.0,0.5194390416145325,0.5027646663530749
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_rolloff_p95,0.19627560682785816,0.22346985340118408,0.370477183163166,0.2363431751728058,-4488442368.0,-3886579200.0,0.5693193078041077,0.46290904950909095
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_centroid_mean,0.19506767629048763,0.15935181081295013,0.39351550340652464,0.24019040167331696,-6405569536.0,-5308789248.0,0.5138335824012756,0.5049905506944888
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_zcr_std,0.5117481890707635,0.11424756795167923,3.149248218536377,1.0300350189208984,-0.019611835479736328,-0.018637776374816895,3.160598039627075,-0.13699807906151157
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_centroid_p50,0.20315773681952404,0.17509271204471588,0.39843387007713316,0.24718669056892395,-2651708160.0,-2269058048.0,0.5199729204177856,0.4987371038011736
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_flatness_p05,0.1607354112203794,0.06262145936489105,0.6002420395612716,0.268195241689682,-0.10564565658569336,0.008540213108062744,0.6989131569862366,0.10395902750484186
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_centroid_std,0.1912727109132669,0.17735415697097778,0.36404860913753506,0.2262817919254303,-469954112.0,-425946880.0,0.48877212405204773,0.4632894888278739
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_bandwidth_p95,0.27471689314414294,0.20322608947753906,0.5690481603145598,0.34422746300697327,-8119106560.0,-6225424896.0,0.6187008619308472,0.47728489954105774
tcn_torch,8,320,6,3,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,63,0.3730996,False,True,spectral_zcr_p50,0.3967831276834775,0.1374892145395279,1.96957568526268,0.7546850442886353,-0.06970787048339844,-0.00556182861328125,2.634097099304199,-0.0210516967050679
