model,embedding_lags,pred_lags,streak_scale,sample_warmup_epochs,sample_p_final,sample_linear_ramp,embedding_column,rubert_table,music_table,y_group,split,seed,test_fraction,test_games,test_rows,merge_identical_embeddings,hidden,dropout,lr,weight_decay,epochs_ran,best_val_mae_norm_macro,standardize_x,standardize_y,y_column,mae,medae,abs_err_p90,rmse,r2,explained_variance,max_abs,pearson
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_17,0.06664965385809923,0.07131928205490112,0.13753335773944853,0.08398036658763885,-3.095154285430908,-1.9737625122070312,0.4022713899612427,0.03912109307840311
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_04,0.03363803584988301,0.020945578813552856,0.16824393719434735,0.05291258916258812,-8.829626083374023,-6.338913440704346,0.2273818552494049,-0.04407640881830695
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p95_18,0.05777810980112125,0.06813043355941772,0.11379566192626953,0.06690310686826706,-4.98341703414917,-2.676943063735962,0.324212908744812,0.13243046290318905
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_14,0.14865026053709862,0.18643420934677124,0.19923895597457886,0.17010514438152313,-2.8757216930389404,-0.2864443063735962,0.457950621843338,0.09764483000391265
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_16,0.05455935830489183,0.06016433238983154,0.11298650503158554,0.06536222994327545,-2.6976118087768555,-1.7432756423950195,0.28707051277160645,0.0932258919333381
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_14,0.18516737115688814,0.16150137782096863,0.5027941614389418,0.24505546689033508,-0.15561413764953613,-0.10014629364013672,0.9418195486068726,-0.06723232594588471
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_10,0.07084240682232074,0.06146475672721863,0.1780695796012861,0.10280211269855499,-0.006568312644958496,-0.005265593528747559,0.5125381350517273,0.1476443976783164
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_17,0.16014552494654288,0.20173576474189758,0.21655786037445068,0.1837441325187683,-3.280632972717285,-0.27696239948272705,0.4832090437412262,0.10018225623366377
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_19,0.05119773703507888,0.05501633882522583,0.1248261809349058,0.06675535440444946,-3.7565226554870605,-2.7533669471740723,0.3406228721141815,0.07569946008559202
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p95_05,0.02311625625842657,0.020527124404907227,0.06730348467826842,0.031031355261802673,-12.682210922241211,-10.812479972839355,0.18109822273254395,0.08628649359081111
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p95_14,0.06311755635035343,0.06153076887130737,0.12133758068084705,0.0808982402086258,-5.5263495445251465,-3.4474434852600098,0.41633328795433044,0.01977280971190502
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_18,0.1607065791120896,0.1379449963569641,0.36753687262535095,0.2093026489019394,0.03358161449432373,0.034773051738739014,0.8238623738288879,0.1867280741592297
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_04,0.07360964933267007,0.08848387002944946,0.08934930264949799,0.0850684717297554,-2.799152374267578,-0.8993023633956909,0.32419276237487793,0.04740918668528768
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_18,0.14511531174947054,0.18575066328048706,0.20180946588516235,0.17125548422336578,-2.9304966926574707,-0.3172959089279175,0.4767133295536041,0.10258131388869933
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p95_19,0.06367913469290122,0.07374709844589233,0.11870948076248149,0.07707022875547409,-5.641011714935303,-2.4372763633728027,0.3230515420436859,0.048831320595248695
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_16,0.1674423954043633,0.20395365357398987,0.22184431552886963,0.1911052167415619,-3.7576870918273926,-0.362343430519104,0.5459343791007996,0.07577778260828721
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_15,0.06526152300528991,0.07011747360229492,0.11311927437782282,0.07928299158811569,-1.7867333889007568,-1.1571707725524902,0.42360958456993103,0.05846468354484794
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_17,0.1259615236511215,0.025832049548625946,0.500450074672699,0.2086038589477539,-0.3580656051635742,0.024317145347595215,0.6491982936859131,0.1609458428436167
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p95_17,0.05465539514254301,0.056053996086120605,0.15830125808715814,0.07048508524894714,-10.93874454498291,-8.024893760681152,0.4060896039009094,0.09256867624972917
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_13,0.050511433948308995,0.05166691541671753,0.13975133299827544,0.06600648909807205,-3.2767748832702637,-2.6107919216156006,0.3543943166732788,0.07906262213382051
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_08,0.031386099526515374,0.02309393882751465,0.10317073464393611,0.05329941585659981,-7.542629241943359,-6.900835990905762,0.3964289128780365,-0.02033923895425116
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_07,0.06622289371414063,0.0561257004737854,0.13619482517242432,0.0885181874036789,-0.9181735515594482,-0.038068294525146484,0.40777257084846497,-0.01654216356868061
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_05,0.05583964635928472,0.04052135348320007,0.1537411831319332,0.06824398785829544,-2.686321973800659,-1.4437074661254883,0.19919705390930176,-0.000660104899745211
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_12,0.13811948131292295,0.17412960529327393,0.18423432111740112,0.1581839770078659,-3.980625629425049,-0.46865904331207275,0.4363161623477936,0.09898780878869143
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_06,0.04199816763209991,0.00616932287812233,0.13150840997695923,0.07561015337705612,-0.18613147735595703,-0.16596388816833496,0.3951907455921173,0.001772723624033003
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_06,0.10314570764700572,0.12807083129882812,0.1357441544532776,0.11691801995038986,-3.5977768898010254,-0.2409137487411499,0.3286915421485901,0.06657789256880432
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p95_00,0.06089690266511379,0.06383940577507019,0.06383952498435974,0.06255276501178741,-141165.125,-50843.33984375,0.18337273597717285,0.1914498907337422
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p95_07,0.03613685224300776,0.04590296745300293,0.04652059078216553,0.03935019299387932,-8.391844749450684,-1.8574063777923584,0.09225201606750488,0.17614543561983512
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_13,0.10414728459257346,0.030345343053340912,0.47856980562210083,0.19417637586593628,-0.22918927669525146,-0.0577392578125,0.7134714126586914,-0.06816763514358037
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_09,0.13679245087640504,0.09961308538913727,0.2707478061318385,0.17056158185005188,-2.0586459636688232,-0.12109243869781494,0.7403337955474854,-0.021441442123013275
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_08,0.06325767737550614,0.017042487859725952,0.21953201293945312,0.11856406927108765,-0.11651968955993652,0.0035932064056396484,0.6086211204528809,0.09602404267256355
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_06,0.030072185206107604,0.02528911828994751,0.08626607060432434,0.045811694115400314,-8.03948974609375,-6.514732837677002,0.27293914556503296,-0.00926341759101443
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_05,0.026107953450618646,0.018519610166549683,0.06124156713485718,0.033938370645046234,-1.098602294921875,-0.8498101234436035,0.15152162313461304,-0.08693163118352777
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_11,0.11635334579608379,0.05698182433843613,0.34922361373901367,0.17357781529426575,-0.5532739162445068,-0.07308125495910645,0.7387388348579407,-0.04269585031331773
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_00,0.026803241288050627,0.01813739538192749,0.08648523092269897,0.03808680921792984,-767780.125,-717955.0,0.24107980728149414,0.1300591485128565
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_std_15,0.16017435024946164,0.20060202479362488,0.21399402618408203,0.18236508965492249,-3.5916671752929688,-0.3980848789215088,0.48367559909820557,0.10211207120501233
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_mean_15,0.12250112617054047,0.02293071150779724,0.5401603579521179,0.22597599029541016,-0.2494361400604248,0.00928354263305664,0.8313180804252625,0.11676957849200476
mlp_torch_autoreg_lags,2,2,32.0,8,0.35,True,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,40,0.2,3,780,True,"256,128",0.1,0.001,0.0001,32,0.3060661,False,True,mfcc_p05_09,0.032012551946517746,0.0181313157081604,0.12535981982946387,0.05431325361132622,-4.514848232269287,-4.468673229217529,0.3502025306224823,0.003930703850362804
