model,embedding_lags,embedding_column,rubert_table,music_table,y_group,split,seed,test_fraction,test_games,test_rows,merge_identical_embeddings,hidden,dropout,lr,weight_decay,epochs_ran,best_val_mae_norm_macro,standardize_x,standardize_y,y_column,mae,medae,abs_err_p90,rmse,r2,explained_variance,max_abs,pearson
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_downtempo,0.6253435554887311,0.08128900080919266,6.409435272216796,1.6190698146820068,-0.013541579246520996,-0.002627849578857422,6.504573822021484,0.03704172260934985
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_corporate,0.704563364557301,0.06514027714729309,8.640595388412475,2.0862908363342285,-0.07539486885070801,0.009440481662750244,8.684112548828125,0.10026009256948022
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_epic,0.19103386846657555,0.0770070031285286,1.023868417739868,0.34380701184272766,-0.44609129428863525,-0.2077786922454834,1.1027737855911255,0.04113507353423201
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_nature,0.2882050655018061,0.026854850351810455,1.5901211261749266,0.6311022043228149,-0.12011909484863281,-0.034783363342285156,2.389075756072998,-0.023166459739857717
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_instrument_guitar,0.46466838508748853,0.2919764965772629,1.839282190799713,0.7149630784988403,-0.06341373920440674,-0.04593610763549805,2.363543748855591,0.14273015237725714
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_rap,0.22254805155001425,0.04782403074204922,1.026685756444931,0.4136766493320465,-0.05728507041931152,-0.028072357177734375,1.1795474290847778,0.08872973696764029
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_emotional,0.3982372277440169,0.08075755089521408,2.1681133866310116,0.8587890267372131,-0.04671585559844971,-0.02682340145111084,3.2405524253845215,-0.006135440507044008
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_orchestral,0.21751661397582397,0.10088378563523293,1.1016056299209593,0.3644903004169464,-0.10985445976257324,-0.10790801048278809,1.3485130071640015,-0.024259849466045254
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_alternative,0.42426940550884373,0.132573701441288,1.3419402539730072,1.0662243366241455,-0.024817943572998047,-0.02126312255859375,6.446099758148193,0.008855327915842332
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_house,0.21776520742210917,0.058928798884153366,1.155170863866806,0.4290662109851837,-0.3773186206817627,-0.17872107028961182,1.3475008010864258,0.01481627104176475
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_eurodance,0.19722230114029327,0.015874845907092094,0.9767307490110397,0.3856867253780365,-0.4053758382797241,-0.19369244575500488,1.3810367584228516,-0.023349782028513517
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_choir,0.21404668837505877,0.016330352053046227,1.1572946965694428,0.4731642007827759,-0.11024081707000732,-0.10961389541625977,2.0293128490448,-0.020693708497645548
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_action,0.22043207977564097,0.05109157785773277,0.9850147902965545,0.42313477396965027,-0.25504040718078613,-0.17966246604919434,1.4952670335769653,-0.02610891809128025
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_instrument_electricguitar,0.4081673130273628,0.17659089714288712,1.5939315617084502,0.897148072719574,-0.018774986267089844,-0.010138273239135742,5.2079758644104,0.1041659813650755
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_industrial,0.187061238098809,0.023366310633718967,0.9035669595003128,0.37018725275993347,-0.3525892496109009,-0.11960172653198242,0.9760195016860962,-0.05670227476372169
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_dub,0.6569595476628494,0.017657073214650154,8.633056449890134,2.1093862056732178,-0.02584218978881836,0.0067141056060791016,8.767809867858887,0.08751666826240384
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_chillout,0.5863674722516384,0.10433368757367134,5.995971012115478,1.5200433731079102,-0.021062850952148438,-0.011326193809509277,6.184439659118652,-0.01696547914748371
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_instrumentalpop,0.29640943863076896,0.06052693724632263,2.666957938671112,0.7080485224723816,-0.02292919158935547,-0.016027450561523438,2.722076892852783,0.027398480206074903
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_instrument_bongo,0.6588860806016527,0.019554142840206623,7.199419546127319,1.7870934009552002,-0.05289626121520996,0.001523435115814209,7.2199811935424805,0.061697547569002725
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_ambient,0.5012157493008252,0.2606002241373062,2.5393789529800412,0.8850291967391968,-0.0643925666809082,-0.013773083686828613,3.5161285400390625,0.01303962989623132
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_christmas,0.2953250048082107,0.08075996488332748,2.313011848926544,0.6889368295669556,-0.07712316513061523,-0.005972146987915039,2.7342677116394043,0.04209029887770716
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_groovy,0.2751720540522514,0.01906937174499035,1.8108305335044839,0.6387362480163574,-0.07130026817321777,-0.0650339126586914,2.6525559425354004,0.06772118546338424
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_documentary,0.3993109602696047,0.03089016303420067,3.484677791595459,0.9565637707710266,-0.04896843433380127,0.011777222156524658,3.5176382064819336,0.11208369268809112
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_pop,0.562986373832115,0.24118126183748245,3.42577064037323,1.0665817260742188,0.0008461475372314453,0.008267998695373535,3.5289969444274902,0.1255215438176318
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_world,0.3442175189122701,0.04125417023897171,2.6345478177070616,0.8004825711250305,-0.06512331962585449,-0.014976859092712402,2.7011635303497314,0.04892991932088061
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_instrument_harmonica,0.30665095730398134,0.018141549080610275,1.4174101293087005,0.733051061630249,-0.049027323722839355,-0.020329833030700684,3.6125848293304443,0.06210133084658341
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_chanson,0.2318032456437299,0.016096756793558598,1.2547238647937775,0.4691190719604492,-0.23607325553894043,-0.22241723537445068,1.6463568210601807,-0.0724493939169305
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_newage,0.4176857294323735,0.118163101375103,2.3772268295288077,0.8020228147506714,-0.17087721824645996,-0.16442561149597168,3.2465755939483643,0.037388093419312554
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_punkrock,0.3693868037398669,0.010400447063148022,0.5138990551233291,1.7879897356033325,-0.009888887405395508,0.0009008646011352539,12.026080131530762,0.030150534718263133
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_melodic,0.4501443731932877,0.08261815458536148,2.611298871040344,0.8987979888916016,-0.008217573165893555,-0.0074040889739990234,2.646852970123291,0.02439697636862875
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_80s,0.2063324944325126,0.021672512404620647,1.2600490033626557,0.4436759948730469,-0.3180232048034668,-0.17466425895690918,1.441140055656433,-0.005449833346152048
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_popfolk,0.2796795448052506,0.05351115018129349,2.0904545426368712,0.5889079570770264,-0.02536141872406006,0.008172929286956787,2.1423699855804443,0.09711290641914541
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_funk,0.46332324800030805,0.045556358993053436,3.591436779499054,1.0308055877685547,-0.03227436542510986,0.008038818836212158,3.6210875511169434,0.10067634489079334
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_powerful,0.2444533245587268,0.013188762590289116,1.1049041807651518,0.4923195540904999,-0.1909552812576294,-0.10784685611724854,1.3481813669204712,-0.04312858285100976
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_dark,0.35991159862814803,0.10660447925329208,1.7378058195114134,0.6668282151222229,-0.42130768299102783,-0.16323935985565186,2.154262065887451,-0.03678463279398514
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_sad,0.29812193357576733,0.07796739041805267,1.638172310590744,0.5548425912857056,-0.10015285015106201,-0.09904789924621582,1.7498055696487427,0.02070355000530176
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_soundtrack,0.40138181132765915,0.1538437381386757,1.7235193133354183,0.7498466372489929,-0.024503111839294434,-0.018571019172668457,3.5569963455200195,0.005161298909012185
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_classical,0.725184276061228,0.6378771960735321,1.9082990050315856,0.9087753891944885,-0.2463212013244629,-0.07941746711730957,2.3189492225646973,-0.07447819379949512
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_instrument_organ,0.2640941986202961,0.030875861644744873,1.7161684989929185,0.5902007222175598,-0.27219438552856445,-0.2677251100540161,3.7863430976867676,0.022031831996177625
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_slow,0.3044020032462401,0.0913030318915844,1.4154186487197875,0.5885251760482788,-0.8537209033966064,-0.4397522211074829,5.188551902770996,0.007175165157128832
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_instrument_piano,0.5193857739082514,0.45062781870365143,1.0213855147361752,0.6895221471786499,-0.24088335037231445,-0.08380746841430664,3.185821056365967,-0.04360252343064761
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_happy,0.47073473269836263,0.08692402765154839,4.39447603225708,1.1818078756332397,-0.02435147762298584,0.010683000087738037,4.466139316558838,0.10335990326997585
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_darkambient,0.22985496956150597,0.04051066190004349,1.3212599098682403,0.5416780710220337,-0.04152202606201172,-0.03684508800506592,2.6483161449432373,-0.024012731280521296
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_hard,0.2936899093809935,0.019846572540700436,1.1818022847175589,0.6772633194923401,-0.05839180946350098,-0.04763913154602051,3.449129819869995,-0.01643295702765459
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_moodtheme_game,0.24741055081204438,0.0526769645512104,1.0221836507320403,0.46739447116851807,-0.5701372623443604,-0.26000022888183594,2.9361155033111572,-0.003105679936981827
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_idm,0.4848368049104745,0.017347030341625214,3.511915349960327,1.0828911066055298,-0.003703474998474121,-0.0009938478469848633,3.6097829341888428,0.06294205604352712
mlp_torch_lag_emb,8,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,"1536,1024,512",0.1,0.001,0.0001,41,0.3101902,False,True,jamendo_genre_disco,0.2804199229782591,0.04275314137339592,1.421006631851196,0.5159176588058472,-0.16395235061645508,-0.146226167678833,2.6063172817230225,0.04709851269341733
