model,embedding_lags,tf_window,tf_d_model,tf_layers,tf_heads,tf_dim_ff,embedding_column,rubert_table,music_table,y_group,split,seed,test_fraction,test_games,test_rows,merge_identical_embeddings,dropout,lr,weight_decay,epochs_ran,best_val_mae_norm_macro,standardize_x,standardize_y,y_column,mae,medae,abs_err_p90,rmse,r2,explained_variance,max_abs,pearson
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_genre_deephouse,0.3957757560108663,0.09127363190054893,3.8571612358093255,0.9899185299873352,-0.024939894676208496,-0.014824271202087402,4.128588676452637,-0.014075540668335499
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_moodtheme_ballad,0.1136319750505022,0.06043992377817631,0.6206407368183131,0.19774924218654633,-0.10265731811523438,-0.035739779472351074,0.7872910499572754,0.10165152129117005
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_moodtheme_soft,0.32888201486128266,0.0952206403017044,2.1439187884330746,0.6688801050186157,-0.020859956741333008,0.07447928190231323,2.488024950027466,0.28767215077679964
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_moodtheme_summer,0.5722677545701094,0.06886271759867668,7.543700718879698,1.8363202810287476,-0.08689010143280029,-0.037920355796813965,7.820802211761475,-0.23802589899404686
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_instrument_bass,0.512602375046565,0.2525058090686798,2.2680599451065064,0.9577531814575195,-0.06924927234649658,-0.06912767887115479,4.858031272888184,-0.12992763611841868
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_instrument_rhodes,0.7466473157701936,0.0624467208981514,6.455346369743347,1.888327956199646,-0.05748629570007324,0.024228692054748535,6.56879997253418,0.3551929056708957
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_genre_grunge,0.33677440977178497,0.04781040921807289,0.6404606491327285,1.4643748998641968,-0.023018717765808105,-0.01060473918914795,9.842347145080566,-0.18262978874697375
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_moodtheme_romantic,0.3932787816993928,0.09135559946298599,1.64467504620552,0.7743157148361206,-0.2000446319580078,-0.02635324001312256,3.390561580657959,-0.010287004257549009
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_genre_worldfusion,0.5861825861317368,0.19182854145765305,3.548432910442352,1.1384851932525635,-0.16910219192504883,-0.15079963207244873,3.76674747467041,-0.3875208553977225
transformer_window_torch,8,384,128,2,4,512,text_emb_concat6_stride4_overlap_mean_max512,text_musics_rubert,music_data,all,leave_games_out,41,0.2,3,780,True,0.1,0.001,0.0001,110,0.40010962,False,True,jamendo_instrument_sampler,0.28241600266311506,0.08939752355217934,1.665557420253753,0.578603208065033,-0.08195352554321289,0.038455188274383545,2.015434741973877,0.19635709474939467
